Langrisser III	3
Langrisser IV	3
Langrisser V - The End of Legend	3
Last Bronx	3
Last Gladiators - Digital Pinball	3
Layer Section	3
Layer Section II	3
Legend of Heroes I & II, The - Eiyuu Densetsu	3
Legend of K-1 - Grand Prix '96	0
Legend of K-1 - The Best Collection	0
Legend of Oasis, The	5
LifeScape 2 - Body Bionics - Kyoui no Shouuchuu Jintai	0
LifeScape - Seimei 40 Okunen Haruka na Tabi	0
Linda^3 Kanzenban	0
Linkle Liver Story	5
Loaded	3
Lode Runner Extra	0
Lode Runner - The Legend Returns	0
Logic Puzzle Rainbow Town	0
Lost Vikings 2 - Norse by Norsewest	0
Lost World, The - Jurassic Park	1
Lovely Pop 2 in 1 - Jan Jan Koi Shimasho	0
LuLu - Un Conte Interactif de Romain Victor-Pujebet	0
Lunacy	1
Lunar 2 - Eternal Blue	3
Lunar - Silver Star Story	3
Lunar - Silver Star Story Complete	3
Lupin Sansei - Pyramid no Kenja	3
Lupin the 3rd Chronicles	0
Lupin the 3rd - The Master File	0
Maboroshi no Black Bass	0
Machi	3
Machine Head	0
Madden NFL 97	0
Madden NFL 98	3
Madou Monogatari	4
Magical Drop	5
Magical Drop 2	0
Magical Drop III - Toretate Zoukan-gou!	3
Magical Hoppers	0
Magical Night Dreams - Cotton 2	3
Magical Night Dreams - Cotton Boomerang	2
Magic Carpet	1
Magic Knight Rayearth	5
Mahjong Doukyuusei Special	4
Mahjong Gakuensai	0
Mahjong Gakuensai DX - Zenjitsu ni Matsuwaru Funsenki	0
Mahjong Ganryuujima	0
Mahjong Gokuu Tenjiku	0
Mahjong Hyper Reaction R	2
Mahjong Kaigan Monogatari - Mahjong-kyou Jidai Sexy Idol-hen	1
Mahjong-kyou Jidai Cebu Island '96	0
Mahjong-kyou Jidai Cogal Houkago-hen	0
Mahjong Taikai II Special	0
Mahjong Tenshi - Angel Lips	4
Mahjong Yon Shimai - Wakakusa Monogatari	5
Mahou Gakuen Lunar!	3
Mahou no Janshi - Poe Poe Poemy	5
Mahou Shoujo Pretty Samy - Heart no Kimochi	0
Mahou Shoujo Pretty Samy - Osorubeshi Shintai Sokutei! Kakubakuhatsu 5-Byou-mae!!	0
Mahoutsukai ni Naru Houhou	0
Mainichi Kawaru Quiz Bangumi - Quiz 365	5
Manoir des Ames Perdues, Le	0
Mansion de las Almas Ocultas, La	0
Mansion of Hidden Souls, The	3
Manx TT SuperBike	5
Maria - Kimi-tachi ga Umareta Wake	0
Marica - Shinjitsu no Sekai	3
Marie no Atelier Ver. 1.3 - Salburg no Renkinjutsushi	5
Mario Mushano no Chou Shougi Juku - Mario Mushano's Hyper Shogi School	0
Marvel Super Heroes	3
Marvel Super Heroes vs. Street Fighter	3
Mass Destruction	1
Mass Destruction - Otousan ni mo Dekiru Soft	0
Master of Monsters - Neo Generations	0
Masters - Harukanaru Augusta 3	1
Matsukata Hiroki no World Fishing	0
Maximum Force	0
Mechanical Violator Hakaider - Last Judgement	0
MechWarrior 2	2
MechWarrior 2 - 31st Century Combat - Arcade Combat Edition	0
MediaROMancer - DA - Daisuke Asakura	0
Mega Man 8	5
Mega Man X3	3
Mega Man X4	5
MeltyLancer - Ginga Shoujo Keisatsu 2086	0
MeltyLancer - Re-inforce	0
m [emu] - Kimi o Tsutaete	0
Message Navi	0
Message Navi Vol. 2	0
Metal Black	1
Metal Fighter Miku	1
Metal Slug - Super Vehicle-001	3
Mezase Idol Star!! Natsuiro Memories - Mahjong-hen	0
Mighty Hits	3
Minakata Hakudou Toujou	4
Minami no Shima ni Buta ga Ita - Lucas no Daibouken	0
Minnesota Fats - Pool Legend	0
Minton Keibu no Sousa File - Doukeshi Satsujin Jiken	0
Mizubaku Daibouken	5
Mizuki Shigeru no Youkai Zukan Soushuuhen	0
Mobile Suit Gundam	0
Mobile Suit Gundam Side Story II - Ao o Uketsugu Mono	1
Mobile Suit Gundam Side Story III - Sabakareshi Mono	1
Mobile Suit Gundam Side Story I - Senritsu no Blue	1
Mobile Suit Gundam Side Story - Optional Guide	0
Moero!! Pro Yakyuu '95 - Double Header	0
Mogitate SegaSaturn - Special Movie	0
Mogitate SegaSaturn Vol. 2	0
Mogitate SegaSaturn Vol. 3	0
Mogitate SegaSaturn Vol. 4	0
Mogitate SegaSaturn Vol. 5	0
Mogitate SegaSaturn Vol. 6	0
Momotarou Douchuuki	3
Monster Slider	0
Moon Cradle	0
Mortal Kombat II	3
Mortal Kombat II Kanzenban	0
Mortal Kombat Trilogy	5
Motteke Tamago with Ganbare! Kamonohashi	0
Mouja	0
Mouri Motonari - Chikai no Sanshi	0
Mr. Bones	1
Mujintou Monogatari R - Futari no Love Love Island	0
Murakoshi Seikai no Bakuchou Nihon Rettou	0
My Best Friends - St. Andrew Jogakuin-hen	0
My Dream - On Air ga Matenakute	0
Myst	5
Mystaria - The Realms of Lore	5
Mystery Mansion - Das Haus der verlorenen Seelen	0
Nanatsu Kaze no Shima Monogatari	1
Nanatsu no Hikan	0
NASCAR 98	0
NBA Action	0
NBA Action 98	2
NBA Jam Extreme	0
NBA Jam - Tournament Edition	5
NBA Live 97	0
NBA Live 98	3
Nekketsu Oyako	4
Neon Genesis Evangelion - Digital Card Library	3
Neon Genesis - Evangelion - Koutetsu no Girlfriend	0
Next King - Koi no Sennen Oukoku	1
NFL '97	0
NFL Quarterback Club '96	0
NFL Quarterback Club 96	0
NFL Quarterback Club '97	0
NFL Quarterback Club 97	0
NHL 97	0
NHL 98	0
NHL All-Star Hockey	0
NHL All-Star Hockey 98	3
NHL Powerplay '96	0
Nightruth - Explanation of the Paranormal 01 - Yami no Tobira	0
Nightruth - Explanation of the Paranormal - Futatsu Dake no Shinjitsu	0
Nightruth - Explanation of the Paranormal - Making of Nightruth II - Voice Selection	0
Nightruth - Explanation of the Paranormal - Maria	0
Nightruth - Explanation of the Paranormal - Nightruth Voice Selection - Radio Drama-hen	0
Nightruth - Explanation of the Paranormal - The Making of Nightruth	0
