Air-Strike	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Air-Strike (1998).TXT
Airball	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Airball (1987).pdf
Airborne Ranger	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Airborne Ranger (1988).pdf
Airlift Rescue	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Airlift Rescue (1995).txt
Airlines	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Airlines (1994).pdf
Airstrike	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Airstrike (1995).TXT
Airstrike USA	en-gb,de,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Airstrike USA (1990).pdf
AJ's Quest	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/AJ's Quest (1992).TXT
Aktie-bal	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aktie-bal (1994).TXT
Al-Qadim - the Genie's Curse	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Al-Qadim - The Genie's Curse (1994).pdf
Albion	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Albion (1995).pdf
Alcatraz	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alcatraz (1992).pdf
Alchemy Game, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alchemy Game, The (1997).TXT
Alcor Trivia Pro Classic Star Trek, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alcor Trivia Pro Classic Star Trek, The (Star-Log I) (1992).TXT
Aldo's Adventure	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aldo's Adventure (1987).txt
Aleshar - The World of Ice	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aleshar - The World of Ice (1997).txt
Alex the Allegator	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alex the Allegator (1999).TXT
Alex the Alligator 2	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alex the Alligator 2 (2002).TXT
Aliants - The Desperate Battle for Earth	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aliants - The Desperate Battle for Earth (1988).pdf
Alice in Wonderland	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alice in Wonderland (1989).TXT
Alien	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien (1982).TXT
Alien Alley	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Alley (1994).TXT
Alien Assault (1995)	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Assault (1995).TXT
Alien Assault (1997)	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Assault (1997).TXT
Alien Breed	en-gb,de,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Breed (1993).pdf
Alien Breed - Tower Assault	en-gb,de,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Breed - Tower Assault (1994).pdf
Alien Cabal	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Cabal (1997).TXT
Alien Carnage	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Carnage (1993).pdf
Alien Fires 2199 AD	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Fires 2199 AD (1987).pdf
Alien Incident	en-gb,de,fr	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Incident (1996).pdf
Alien Legacy	en	https://archive.org/download/Alien_Legacy_-_Manual/Alien_Legacy_-_Manual.pdf
Alien Logic	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Logic (1994).pdf
Alien Odyssey	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Odyssey (1995).pdf
Alien Olympics	en-gb,de,fr	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Olympics (1994).pdf
Alien Syndrome	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Syndrome (1989).pdf
Alien Trilogy	en-gb,de,es,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Trilogy (1996).pdf
Alien Virus	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Virus (1995).pdf
Alien Worlds	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alien Worlds (1989).TXT
Aliens	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aliens (1989).txt
Aliens - A Comic Book Adventure	en-gb,de,fr	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aliens - A Comic Book Adventure (1995).pdf
Alive Sharks	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alive Sharks (1990).txt
All-American College Football	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/All-American College Football (1991).pdf
Allan Border's Cricket	en	http://lucasabandonware.free.fr/manuels/Allan Border's Cricket.txt
AllegroHack	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/AllegroHack (2000).TXT
Alley Cat	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alley Cat (1984).pdf
Alone in the Dark	en-gb,de,es,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alone in the Dark (1992).pdf
Alone in the Dark 2	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alone in the Dark 2 (1993).pdf
Alone in the Dark 3	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Alone in the Dark 3 (1994).pdf
