007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
Shadow Warriors	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Shadow Warriors (Europe).pdf
Shadowfire	en	https://archive.org/download/c64man_shadowfire/c64man_shadowfire_images.zip
Shark	en	http://www.digitpress.com/library/manuals/c64/Shark.txt
Shinobi	en-gb,de,it	https://archive.org/download/AmstradCPCManuals_201812/Shinobi (Europe) (Disk 1).pdf
Short Circuit	en	http://www.digitpress.com/library/manuals/c64/shortcircuit.txt
Sigma Seven	en	https://archive.org/download/Commodore64Manuals/Sigma7europe.pdf
Silent Service	en	https://archive.org/download/SilentService_201602/Silent Service.pdf
Silkworm	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Silkworm (Europe).pdf
Skate Rock	en	https://archive.org/download/Skate_Rock_1986_Bubble_Bus_Software/Skate_Rock_1986_Bubble_Bus_Software.pdf
Skool Daze	en	https://archive.org/download/skooldaze_manual/skooldaze_manual.pdf
Skyfox	en	https://archive.org/download/c64man_skyfox/c64man_skyfox_images.zip
Slaine	en	https://archive.org/download/AmstradCPCManuals_201812/Slaine - The Celtic Barbarian (Europe).pdf
Smash TV	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Smash TV (Europe).pdf
Solar Fox	en	https://archive.org/download/Commodore64Manuals/SolarFoxusa.pdf
Soldier Of Fortune	en	https://archive.org/download/Commodore64Manuals/SoldierOfLighteurope.pdf
Solo Flight	en	https://archive.org/download/solo-flight-august-1987-change-5-micro-prose/Solo_Flight_August_1987_Change_5_Micro_Prose.pdf
Song Maker	en	https://archive.org/download/Song_Maker_1985_Fisher_Price/Song_Maker_1985_Fisher_Price.pdf
Sonic Boom	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Sonic Boom (Europe).pdf
Space Gun	en	https://archive.org/download/Commodore64Manuals/SpaceGuneurope.pdf
Space Harrier	en	https://archive.org/download/sh01-converted/sh01-converted.pdf
Space Harrier	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Space Harrier (Europe).pdf
Space Harrier II	en-gb,de,fr,it	https://archive.org/download/zx-spaceharrier-2-manual/ZX spaceharrier2_manual.pdf
Space Pilot	en	https://archive.org/download/Space_Pilot_1984_Anirog/Space_Pilot_1984_Anirog.pdf
Space Ric-O-Shay	en	https://archive.org/download/Commodore64Manuals/SpaceRic-o-shayusa.pdf
Space Shuttle - A Journey into Space	en	https://archive.org/download/Commodore64Manuals/SpaceShuttle-AJourneyIntoSpaceusa.pdf
Speed King	en	https://archive.org/download/Speed_King_1985_Digital_Intergration/Speed_King_1985_Digital_Intergration.pdf
Speed Math & Bingo Math	en	https://archive.org/download/Speed-Bingo_Math_1982_Commodore/Speed-Bingo_Math_1982_Commodore.pdf
Speedball	en	https://archive.org/download/c64man_speedball/c64man_speedball_images.zip
Spellbound	en-gb,de,es,fr,it	https://archive.org/download/Spellbound_1986_Mastertronic/Spellbound_1986_Mastertronic.pdf
Spellbound Dizzy	en	http://www.digitpress.com/library/manuals/c64/SpellboundDizzy.txt
Spherical	en-gb,de	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Spherical - Manual-DE-ENG.pdf
Spirates	en	https://archive.org/download/Spirates_Snowman_1983_Commodore/Spirates_Snowman_1983_Commodore.pdf
Spitball	en	https://archive.org/download/Commodore64Manuals/Spitballusa.pdf
Spitfire 40	en	http://www.digitpress.com/library/manuals/c64/Spitfire_40.txt
Spitting Image	en	http://www.digitpress.com/library/manuals/c64/Spitting_Image.txt
Split Personalities	en	https://archive.org/download/split_manual/split_manual.jpg
Sport of Kings	en	https://archive.org/download/Sport_Of_Kings_1987_Mastertronic/Sport_Of_Kings_1987_Mastertronic.pdf
Spy Hunter	en	https://archive.org/download/Commodore64Manuals/SpyHunterusa.pdf
Spy vs Spy	en	https://archive.org/download/Commodore64Manuals/SpyVsSpyusa.pdf
Spy vs Spy II - The Island Caper	en	https://archive.org/download/game_manual_Spy_vs_Spy_II_The_Island_Caper_Instruction_Manual/Spy_vs_Spy_II_The_Island_Caper_Instruction_Manual.pdf
Spy vs Spy III - Arctic Antics	en	https://archive.org/download/Commodore64Manuals/SpyVsSpyIii-ArcticAnticsusa.pdf
Staff of Karnath	en	https://archive.org/download/c64man_staff-of-karnath/c64man_staff-of-karnath_images.zip
Star Control	en	http://www.digitpress.com/library/manuals/c64/star_control.txt
Star Ranger	en	https://archive.org/download/Commodore64Manuals/StarRangerusa.pdf
Star Trek - Strategic Operations Simulator	en	https://archive.org/download/Commodore64Manuals/StarTrek-StrategicOperationsSimulatorusa.pdf
Star Wars	en-gb,de,es,fr	https://archive.org/download/Commodore64Manuals/StarWarsusa.pdf
Star Wars - Empire Strikes Back, The	en-gb,de,es,fr	https://archive.org/download/AmstradCPCManuals_201812/Star Wars II - Empire Strikes Back (Europe).pdf
Star Wars - The Arcade Game	en	http://www.digitpress.com/library/manuals/c64/starwarsarcade.txt
Starfire	en	https://archive.org/download/Commodore64Manuals/Starfireusa.pdf
Starglider	en	https://archive.org/download/c64man_starglider/c64man_starglider_images.zip
Stat 64	en	https://archive.org/download/Stat_64_1983_Handic/Stat_64_1983_Handic.pdf
Stormlord	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Stormlord (Europe).pdf
Story Machine	en	https://archive.org/download/StoryMachineSpinnaker/Story_Machine_Spinnaker.pdf
Street Fighter	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Street Fighter (Europe).pdf
Street Fighter II	en	https://archive.org/download/s01-converted/s01-converted.pdf
Street Hassle	en	http://www.digitpress.com/library/manuals/c64/street_hassle.txt
Street Sports Baseball	en	https://archive.org/download/Commodore64Manuals/StreetSportsBaseballusa.pdf
Street Sports Basketball	en	https://archive.org/download/Commodore64Manuals/StreetSportsBasketballusa.pdf
Street Surfer	en	http://www.digitpress.com/library/manuals/c64/street_surfer.txt
Strider	en-gb,de,fr,it	https://archive.org/download/Strider_USGold_AtariST_Manual/Strider_02_200DPI.cbz	filter=*jpg
Strider II	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Strider II (Europe).pdf
Stun Runner	en-gb,it	https://archive.org/download/AmstradCPCManuals_201812/Stun Runner (Europe).pdf
Stuntman Seymour	en	http://www.digitpress.com/library/manuals/c64/Stuntman_Seymour.txt
Sub Battle Simulator	en	https://archive.org/download/Commodore64Manuals/SubBattleSimulatorusadisk1SideA.pdf
Suicide Express	en	http://www.digitpress.com/library/manuals/c64/suicide_express.txt
Suicide Strike	en	http://www.digitpress.com/library/manuals/c64/suicidestrike.txt
Summer Games	en	https://archive.org/download/Commodore64Manuals/SummerGamesusasideA.pdf
Summer Games II	en	https://archive.org/download/Commodore64Manuals/SummerGamesIiusa.pdf
Summer Olympiad	en	http://www.digitpress.com/library/manuals/c64/summer_olympiad.txt
Super Cars	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Super Cars (Europe).pdf
Super Hang-On	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Super Hang-On (Europe).pdf
Super Pipeline	en	https://archive.org/download/Super_Pipeline_1983_Taskset/Super_Pipeline_1983_Taskset.pdf
Super Scramble Simulator	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Super Scramble Simulator (Europe).pdf
Super Seymour Saves the Planet	en	http://www.digitpress.com/library/manuals/c64/Super_Seymour_STP.txt
Super Ski	en-gb,de,es,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Super Ski - Manual-DE-ENG-FR-IT-SP.pdf
Super Smash	en	http://www.digitpress.com/library/manuals/c64/supersmash.txt
Super Sprint	en-gb,de,fr	https://archive.org/download/c-64-ssprint-manual/C64 ssprint_manual.pdf
Superstar Ice Hockey	en	http://www.stadium64.com/manuals/pdf/superstaricehockeymanual2.pdf
Superstar Ping-Pong	en	http://www.digitpress.com/library/manuals/c64/superstar_ping_pong.txt
Supremacy	en	https://archive.org/download/u01a-converted/u01a-converted.pdf
Supremacy	fr	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Supremacy - Your will be done - Manual-FR.pdf
Swap	en	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Swap - Manual-ENG.pdf
Swap	fr	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Swap - Manual-FR.pdf
Swordslayer	en	http://www.digitpress.com/library/manuals/c64/Sword_Slayer.txt
Tag Team Wrestling	en	https://archive.org/download/Commodore64Manuals/TagTeamWrestlingusa.pdf
Tales of the Arabian Nights	en	https://archive.org/download/Tales_of_the_Arabian_Nights_1984_Interceptor_Micros/Tales_of_the_Arabian_Nights_1984_Interceptor_Micros.pdf
Talladega	en	https://archive.org/download/Commodore64Manuals/RichardPettysTalladegausa.pdf
Target Renegade	en	http://www.digitpress.com/library/manuals/c64/Target_Renegade.txt
Task 3	en	https://project64.c64.org/Games/Task 3.txt
Teenage Mutant Hero Turtles	en	https://archive.org/download/AmstradCPCManuals_201812/Teenage Mutant Hero Turtles (Europe).pdf
Teenage Mutant Hero Turtles	fr	https://archive.org/download/AtariSTManuals_201812/Teenage Mutant Hero Turtles.pdf
Teenage Mutant Hero Turtles	it	https://archive.org/download/teenagemutantheroturtles/Teenage Mutant Hero Turtles.pdf
Teenage Mutant Hero Turtles - The Coin-Op!	en-gb,de,fr,it	https://archive.org/download/teenagemutantheroturtlesthecoinop/Teenage Mutant Hero Turtles The Coin-Op.pdf
Tennis	es	https://www.gamesdatabase.org/Media/SYSTEM/Amstrad_CPC/Manual/formated/Tennis_-_1985_-_Psion_Software.pdf
Tenpins	en	https://archive.org/download/Commodore64Manuals/10 Pin (Europe).pdf
Terminator II - Judgment Day	en-gb,de,it	https://archive.org/download/Commodore64Manuals/TerminatorIi-JudgmentDayeuropesideA.pdf
Terra Cognita	en	https://archive.org/download/Terra_Cognita_1986_Codemasters/Terra_Cognita_1986_Codemasters.pdf
Terra Cresta	en	http://www.digitpress.com/library/manuals/c64/terracresta.txt
Terra Cresta	es	https://archive.org/download/Terra_Cresta_1986_Imagine_Software_ES/Terra_Cresta_1986_Imagine_Software_ES.pdf
Terrorpods	en-gb,de,fr,it	https://archive.org/download/Terrorpods8/Terrorpods8.pdf
Tetris	en	https://archive.org/download/tetrisusac64/tetrisusac64.pdf
Tetris	en-gb,de,fr,it	https://archive.org/download/Tetris_1988_Mastertronic/Tetris_1988_Mastertronic.pdf
Tetris	fr	https://archive.org/download/AmstradCPCManuals_201812/Tetris (Europe).pdf
Thanatos	en	https://archive.org/download/AmstradCPCManuals_201812/Thanatos (Europe).pdf
Thing Bounces Back	en-gb,fr	https://archive.org/download/AmstradCPCManuals_201812/Thing Bounces Back (Europe).pdf
Thing on a Spring	en	https://archive.org/download/Thing_On_A_Spring_1985_Gremlin_Graphics/Thing_On_A_Spring_1985_Gremlin_Graphics.pdf
Thomas the Tank Engine	en-gb,de,it	https://archive.org/download/Thomas_the_Tank_Engine_1990_Alternative_Software/Thomas_the_Tank_Engine_1990_Alternative_Software.pdf
Thomas the Tank Engine's Fun with Words	en	https://archive.org/download/thomaswords/thomaswords.pdf
Thrust	en	https://archive.org/download/Thrust_1986_Firebird_Software/Thrust_1986_Firebird_Software.pdf
Thrust II	en	https://archive.org/download/Thrust_II_1988_Firebird_Software/Thrust_II_1988_Firebird_Software.pdf
Thunder Jaws	fr	https://archive.org/download/AtariSTManuals_201812/Thunder Jaws.pdf
Thunderbirds	en-gb,de,fr,it	https://archive.org/download/ThunderbirdsGrandslam/Thunderbirds (GB,DE,FR,IT).pdf
Thunderblade	en	https://archive.org/download/Commodore64Manuals/Thunderbladeusa.pdf
Thundercats	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Thundercats (Europe).pdf
Tiger Road	en-gb,de,fr,it	https://archive.org/download/Commodore64Manuals/TigerRoadusa.pdf
Tilt	en-gb,it	https://archive.org/download/Tilt_1990_Codemasters/Tilt_1990_Codemasters.pdf
Time Machine	en-gb,de,fr,it	https://archive.org/download/Commodore64Manuals/TimeMachineusa.pdf
Time Scanner	en	http://www.digitpress.com/library/manuals/c64/time_scanner.txt
Timebound	en	https://archive.org/download/Commodore64Manuals/Timeboundusa.pdf
Tintin on the Moon	es	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Tintin_on_the_Moon_-_1989_-_Infogrames.pdf
Titan	en	https://archive.org/download/AmstradCPCManuals_201812/Titan (Europe).pdf
Titanic Blinky	en	https://archive.org/download/Titanic_Blinky_1992_Zeppelin_Games/Titanic_Blinky_1992_Zeppelin_Games.pdf
Toki	en	https://archive.org/download/Commodore64Manuals/Tokieurope.pdf
Tomahawk	en	https://archive.org/download/TomahawkDatasoft/Tomahawk_Datasoft.pdf
Tomcat	en	http://www.digitpress.com/library/manuals/c64/f-14_tomcat_controls.txt
Toobin'	en-gb,it	https://archive.org/download/AmstradCPCManuals_201812/Toobin' (Europe).pdf
Tooth Invaders	en	https://archive.org/download/Commodore64Manuals/ToothInvadersusa.pdf
Top Cat Starring in Beverly Hills Cats	en-gb,de,es,fr,it	https://archive.org/download/topcat_manual/Top Cat.pdf
Top Gun	en	http://www.digitpress.com/library/manuals/c64/Top_Gun.txt
Total Eclipse	en	https://project64.c64.org/Games/TECLIP10.TXT
Total Recall	en	http://www.digitpress.com/library/manuals/c64/Total_Recall.txt
Toy Bizarre	en	https://archive.org/download/Commodore64Manuals/ToyBizarreusa.pdf
Tracksuit Manager	en-gb,de,es,fr,it	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Tracksuit_Manager_-_1988_-_Goliath_Games.pdf
Trailblazer	en	https://archive.org/download/trail-blazer-mindscape/TrailBlazer_Mindscape.pdf
Trailblazer	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Trailblazer (Europe).pdf
Transformers, The	en	http://www.digitpress.com/library/manuals/c64/transformers.txt
Transformers, The - Battle to Save the Earth	en	https://archive.org/download/the-transformers-battle-to-save-the-earth/The_Transformers_Battle_to_Save_the_Earth.pdf
Trantor - The Last Stormtrooper	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Trantor - The Last Stormtrooper (Europe).pdf
Trashman	en	https://archive.org/download/Commodore64Manuals/TrashmancreativeSoftwareusa.pdf
Treasure Island	en	http://www.digitpress.com/library/manuals/c64/treasure_island.txt
Treasure Island Dizzy	en	http://www.digitpress.com/library/manuals/c64/TreasureIslandDizzy.txt
Trolls	en	http://www.digitpress.com/library/manuals/c64/trolls.txt
Turbo Boat Simulator	en	https://archive.org/download/Commodore64Manuals/TurboBoatSimulatoreurope.pdf
Turbo Charge	en	https://archive.org/download/Turbo_Charge_1991_System_3_M3/Turbo_Charge_1991_System_3_M3.pdf
Turbo Kart Racer	en	http://www.digitpress.com/library/manuals/c64/turbo_kart_racer.txt
Turbo Out Run	en-gb,de,fr,it	https://archive.org/download/turbooutrun_manual_202110/turbooutrun_manual.pdf
Turbo the Tortoise	en	https://archive.org/download/Turbo_the_Tortoise_1992_Codemasters/Turbo_the_Tortoise_1992_Codemasters.pdf
Turrican	en	https://archive.org/download/Commodore64Manuals/TurricaneuropesideA.pdf
Turrican II - The Final Fight	en-gb,it	https://archive.org/download/turrican-ii/Turrican II.pdf
Tusker	en	https://archive.org/download/Tusker_1989_System_3_M2/Tusker_1989_System_3_M2.pdf
Twin Kingdom Valley	en	https://archive.org/download/Twin_Kingdom_Valley_1984_Bug-Byte_Software/Twin_Kingdom_Valley_1984_Bug-Byte_Software.pdf
Twinky Goes Hiking	en	http://www.digitpress.com/library/manuals/c64/twinky.txt
Tyler's Dungeons	en	https://archive.org/download/Commodore64Manuals/TylersDungeonsusa.pdf
UFO	en	https://project64.c64.org/Games/UFO.txt
UN Squadron	en	http://www.digitpress.com/library/manuals/c64/UN_Squadron.txt
Underwurlde	en	https://archive.org/download/c64man_underwurlde/c64man_underwurlde_images.zip
Untouchables, The	en	http://www.digitpress.com/library/manuals/c64/untouchables.txt
Up & Add'Em	en	https://archive.org/download/Up_n_Add_Em_1984_Fisher_Price/Up_n_Add_Em_1984_Fisher_Price.pdf
Up 'n Down	en	https://www.gamesdatabase.org/Media/SYSTEM/Commodore_64/Manual/formated/Up_-n_Down_-_1984_-_U.S._Gold_Ltd..pdf
Up for Grabs	en	https://archive.org/download/UpForGrabsSpinnaker/Up_For_Grabs_Spinnaker.pdf
Up'n Down	en	https://archive.org/download/Commodore64Manuals/UpnDownusa.pdf
Uridium	en	https://archive.org/download/Uridium_1986_Hewson/Uridium_1986_Hewson.pdf
Uridium+	en	http://www.digitpress.com/library/manuals/c64/uridium.txt
V	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/V-TheComputerGameeurope.pdf
Vampire	en	https://archive.org/download/Vampire_1987_CodeMasters/Vampire_1987_CodeMasters.pdf
Vampire's Empire	de	https://archive.org/download/vampires-empire/Vampire's Empire DE.pdf
Vampire's Empire	en	https://archive.org/download/vampires-empire/Vampire's Empire EN.pdf
Vampire's Empire	fr	https://archive.org/download/vampires-empire/Vampire's Empire FR.pdf
Vegas Jackpot	en	https://archive.org/download/LasVegasVideoPokerVegasJackpotMastertronic/Las_Vegas_Video_Poker_Vegas_Jackpot_Mastertronic.pdf
Vendetta	en	https://archive.org/download/Vendetta_1990_System_3/Vendetta_1990_System_3.pdf
Video Meanies	en	https://archive.org/download/Video_Meanies_1986_Mastertronic/Video_Meanies_1986_Mastertronic.pdf
Viduzzles - Computerized Jigsaw Puzzles	en	https://archive.org/download/Commodore64Manuals/Viduzzlesusa.pdf
Vigilante	es	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Vigilante_-_1989_-_U.S._Gold_Ltd..pdf
Viking Raider	en-gb,fr	https://archive.org/download/Commodore64Manuals/VikingRaiderusa.pdf
Vindicators	en-gb,fr,it	https://archive.org/download/Vindicators/Vindicators.pdf
Visible Solar System, The	en	https://archive.org/download/Visible_Solar_System_1982_Commodore_a/Visible_Solar_System_1982_Commodore_a.pdf
Vixen	en	https://archive.org/download/AtariSTManuals_201812/Vixen.pdf
Vixplode-64	en	https://archive.org/download/Vixplode_1983_Abrasco/Vixplode_1983_Abrasco.pdf
Viz	en	https://archive.org/download/Viz_The_Game_1991_Virgin/Viz_The_Game_1991_Virgin.pdf
Vultures	en	https://archive.org/download/Vultures_1983_J_Morn_Micros/Vultures_1983_J_Morrison_Micros.pdf
Wacky Darts	en-gb,it	https://archive.org/download/Wacky_Darts_1990_Codemasters/Wacky_Darts_1990_Codemasters.pdf
War Cars Construction Set	en	https://archive.org/download/War_Cars_1988_Firebird_Software/War_Cars_1988_Firebird_Software.pdf
War in Middle Earth	en	https://archive.org/download/c64man_war-middle-earth/c64man_war-middle-earth_images.zip
War Machine	en	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/War_Machine_-_1989_-_Players_Software.pdf
Water Polo	en	https://archive.org/download/water-polo-1987/Water_Polo_1987.pdf
Way of the Tiger	en-gb,de,es,fr	https://archive.org/download/AmstradCPCManuals_201812/Way of the Tiger, The (Europe).pdf
Web Dimension	en	http://www.digitpress.com/library/manuals/c64/webdimension.txt
Webster - The Word Game	en	https://archive.org/download/webster-the-word-game-cbs-software/Webster_The_Word_Game_CBS_Software.pdf
Wec Le Mans	en-gb,de,fi,fr,it	https://archive.org/download/AmstradCPCManuals_201812/WEC Le Mans (Europe).pdf
Wembley Greyhounds	en	https://archive.org/download/Wembley_Greyhounds_1990_Cult_Games/Wembley_Greyhounds_1990_Cult_Games.pdf
Westworld	en	https://archive.org/download/Westworld_1984_Advanced_Computer_Entertainment/Westworld_1984_Advanced_Computer_Entertainment.pdf
Wibstars	en	http://www.digitpress.com/library/manuals/c64/wibstars.txt
Wicked	en	https://archive.org/download/Wicked_1989_Electric_Dreams/Wicked_1989_Electric_Dreams.pdf
Wild West Seymour	en	http://www.digitpress.com/library/manuals/c64/Wild_West_Seymour.txt
Wing Commander	en	https://archive.org/download/Wing_Commander_1984_Mastertronic/Wing_Commander_1984_Mastertronic.pdf
Winter Camp	en	https://archive.org/download/Winter_Camp_1992_Thalamus/Winter_Camp_1992_Thalamus.pdf
Winter Games	en	https://archive.org/download/Commodore64Manuals/WinterGamesusasideA.pdf
Winter Olympiad	en	https://archive.org/download/winter-olympiad-88/Winter Olympiad 88 manual.pdf
Winter Olympiad	en-gb,de	https://archive.org/download/winter-olympiad-88/Winter Olympiad Microvalue.pdf
Winter Supersports 92	en-gb,de,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Winter Supersports - Manual-DE-ENG-FR-IT.pdf
Wizard of Id's Wiztype, The	en	https://archive.org/download/Commodore64Manuals/WizardOfIdsWiztypeusa.pdf
Wizard of Wor	en	https://archive.org/download/Commodore64Manuals/WizardOfWorusa.pdf
Wizard of Wor	ja	https://archive.org/download/Wizard_of_Wor_1982_Commodore_JP/Wizard_of_Wor_1982_Commodore_JP.pdf
Wizard Warz	en-gb,de,fr,it	https://archive.org/download/Wizard_Warz_1987_GO/Wizard_Warz_1987_GO.pdf
Wizard's Lair	en	https://archive.org/download/AmstradCPCManuals_201812/Wizard's Lair (Europe).pdf
Wizardry	en	https://archive.org/download/Commodore64Manuals/WizardryI-ProvingGroundsOfTheMadOverlordusadisk2aDisk.pdf
Wizball	en-gb,de,fr,it	https://archive.org/download/Wizball_1987_Ocean_Software_M4/Wizball_1987_Ocean_Software_M4.pdf
Wonder Boy	en	https://archive.org/download/Wonderboy_1987_Activision/Wonderboy_1987_Activision.pdf
Wonderboy	en	https://archive.org/download/Wonderboy_1987_Activision/Wonderboy_1987_Activision.pdf
World Championship Squash	en	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Jahangir Khans World Championship Squash - Manual-ENG.pdf
World Class Leaderboard	en	https://archive.org/download/Commodore64Manuals/WorldClassLeaderboardusasideA.pdf
World Cup Soccer - Italia '90	en-gb,it	https://archive.org/download/world-cup-soccer-italia-90/World Cup Soccer Italia '90.pdf
World Games	en	https://archive.org/download/Commodore64Manuals/WorldGamesusa.pdf
World Games	es	https://archive.org/download/WorldGamesES/World Games (ES).pdf
World Soccer	en	https://archive.org/download/World_Soccer_1990_Zeppelin_Games/World_Soccer_1990_Zeppelin_Games.pdf
Wrestling Superstars	en	http://www.digitpress.com/library/manuals/c64/Wrestling_Superstars.txt
WWF Wrestlemania Challenge	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/WWF Wrestlemania (Europe).pdf
Xenon	en-gb,de,fr,it	https://archive.org/download/Xenon_1990_Mastertronic_budget/Xenon_1990_Mastertronic_budget.pdf
Xevious	es	https://archive.org/download/Xevious_1982_Namco_ES/Xevious_1982_Namco_ES.pdf
Xor	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/XOR (Europe).pdf
Yie Ar Kung-Fu	en	https://archive.org/download/yiearkungfu_manual/yiearkungfu_manual.jpg
Yie Ar Kung-Fu II	en-gb,de,fr	https://archive.org/download/Yie_Ar_Kung-Fu_II_1987_Imagine_Software/Yie_Ar_Kung-Fu_II_1987_Imagine_Software.pdf
Yogi Bear & Friends in the Greed Monster	en-gb,de	https://archive.org/download/yogi-bear-in-the-greed-monster/Yogi Bear in The Greed Monster.pdf
Yogi's Great Escape	en-gb,de,it	https://archive.org/download/Yogis_Great_Escape_1990_Hi-Tec_Software/Yogis_Great_Escape_1990_Hi-Tec_Software.pdf
Zaxxon	en	https://archive.org/download/Commodore64Manuals/Zaxxon (US Gold + SEGA) (Europe).pdf
Zenji	en	https://archive.org/download/Commodore64Manuals/Zenji (USA).pdf
Zig Zag	en	http://www.digitpress.com/library/manuals/c64/Zigzag.txt
Zodiac	en	https://archive.org/download/Commodore64Manuals/Zodiac (Anirog Software) (Europe).pdf
Zoid	en	https://archive.org/download/Zoids_1986_Alternative_Software/Zoids_1986_Alternative_Software.pdf
Zolyx	en	https://archive.org/download/game_manual_Zolyx/Zolyx.pdf
Zone Ranger	en	https://archive.org/download/Commodore64Manuals/Zone Ranger (USA).pdf
Zoomerang	en	https://archive.org/download/Zoomerang_1991_Atlantis/Zoomerang_1991_Atlantis.pdf
Zub	en	https://archive.org/download/Zub_1986_Mastertronic/Zub_1986_Mastertronic.pdf
Zynaps	en	http://www.digitpress.com/library/manuals/c64/zynaps.txt
Zzz	en-gb,de,es,fr,it	https://archive.org/download/Zzzz_1986_Mastertronic/Zzzz_1986_Mastertronic.pdf
