007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
Bully's Sporting Darts	en	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Bully-s_Sporting_Darts_-_1992_-_Alternative_Software.htm
Bump Set Spike	en	https://archive.org/download/Commodore64Manuals/Bump Set Spike! - Doubles Volleyball (Europe).pdf
Bunny Zap	en	https://archive.org/download/Commodore64Manuals/Bunny Zap (USA).pdf
Cabal	en	https://archive.org/download/Commodore64Manuals/Cabal (USA).pdf
Cadcam Warrior	en	https://archive.org/download/Commodore64Manuals/Cad-Cam Warrior (Europe).pdf
California Games	en	https://archive.org/download/Commodore64Manuals/California Games (USA) (Disk 1 Side A).pdf
Captain Blood	en	https://archive.org/download/Commodore64Manuals/Captain Blood (France).pdf
Captain Dynamo	en	https://archive.org/download/Commodore64Manuals/Captain Dynamo (Europe).pdf
Captain Fizz Meets the Blaster-Trons	en	https://archive.org/download/Commodore64Manuals/Captain Fizz - Meets the Blaster-Trons (USA).pdf
Castle Hassle	en	https://archive.org/download/Castle_Hassle_1983_Roklan/Castle_Hassle_1983_Roklan.pdf
Castle Master	en	https://archive.org/download/Commodore64Manuals/Castle Master (Europe).pdf
Cauldron	en	https://archive.org/download/Commodore64Manuals/Cauldron (Europe).pdf
Cauldron II - The Pumpkin Strikes Back	en	https://archive.org/download/Commodore64Manuals/Cauldron II - The Pumpkin Strikes Back (Europe).pdf
Cave Fighter	en	https://archive.org/download/Commodore64Manuals/Cave Fighter (Europe).pdf
Cavelon	en	https://archive.org/download/Commodore64Manuals/Cavelon (Europe).pdf
Cavemania	en	https://archive.org/download/Commodore64Manuals/Cavemania (Europe).pdf
Caverns of Eriban	en	https://archive.org/download/Commodore64Manuals/Caverns of Eriban, The (Europe).pdf
Centipede	en	https://archive.org/download/Commodore64Manuals/Centipede (USA).pdf
Centurions Power X Treme	en	https://archive.org/download/centurians/centurians.pdf
Chain Reaction	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Chain Reaction (Europe).pdf
Championship Golf	en	https://archive.org/download/Commodore64Manuals/Championship Golf (Europe).pdf
Championship Jetski Simulator	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Championship Jet Ski Simulator (Europe).pdf
Chase H.Q.	en	https://archive.org/download/Commodore64Manuals/Chase HQ (Europe).pdf
Chase H.Q.	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Chase H.Q. (Europe).pdf
Chase H.Q. II - Special Criminal Investigation	en	https://archive.org/download/Commodore64Manuals/Chase HQ 2 (Europe).pdf
Checkers	en	https://archive.org/download/Commodore64Manuals/Checkers (USA).pdf
Chevy Chase	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Chevy Chase (Europe).pdf
Chickin Chase	en	https://archive.org/download/Commodore64Manuals/Chickin Chase (Europe).pdf
Chiller	en	https://archive.org/download/Chiller_1984_Mastertronic/Chiller_1984_Mastertronic.pdf
Chinese Juggler	en	https://archive.org/download/Commodore64Manuals/Chinese Juggler, The (Europe).pdf
Chip's Challenge	en	https://archive.org/download/Commodore64Manuals/Chip's Challenge (USA).pdf
Choplifter!	en	https://archive.org/download/Commodore64Manuals/Choplifter (USA).pdf
Circus Games	en	https://archive.org/download/Commodore64Manuals/Circus Games (Keypunch Software) (USA).pdf
CJ in the USA	en	https://archive.org/download/AtariSTManuals_201812/CJ in the USA.pdf
Cloud Kingdoms	en	https://archive.org/download/Commodore64Manuals/Cloud Kingdoms (Europe).pdf
Clowns	en	https://archive.org/download/Commodore64Manuals/Clowns (USA).pdf
Cobra	en	http://www.digitpress.com/library/manuals/c64/cobra.txt
Cobra Force	en	https://archive.org/download/Commodore64Manuals/Cobra Force (Europe).pdf
Code Hunter	en	https://archive.org/download/Commodore64Manuals/CODE Hunter (Europe).pdf
Colossus Chess 4	es	https://archive.org/download/ColossusChess4ES/Colossus Chess 4 (ES).pdf
Colossus Chess 4	nl	https://archive.org/download/Commodore64Manuals/Colossus Chess 4 (Europe).pdf
Combat Crazy - Warbringer	en	https://archive.org/download/Commodore64Manuals/Combat Crazy - Warbringer (Europe).pdf
Combat Leader	en	https://archive.org/download/Commodore64Manuals/Combat Leader (USA).pdf
Combat Lynx	en	https://archive.org/download/Commodore64Manuals/Combat Lynx (Europe).pdf
